Results from training,Testing results,,,
145.3,180,,,
168,540,,,
145,210,,,
153.4,210,,,
166,210,,,
186,410,,,
198.7,210,,,
159,110,,,Average
204.9,110,,,240.5
181.6,215,,,
167.8,,,,
203.2,,,,
151.4,,,,
178.7,,,,
182,,,,
179.8,,,,
168.7,,,,
207.7,,,,
160.9,,,,
160.6,,,,
171.9,,,,
151.6,,,,
176.3,,,,
155.5,,,,
189.8,,,,
188.2,,,,
158.5,,,,
145.7,,,,
201.3,,,,
193,,,,
142.4,,,,
160.5,,,,
159.6,,,,
160,,,,
189.3,,,,
158.5,,,,
159.4,,,,
151.7,,,,
211.2,,,,
145.3,,,,
202.4,,,,
192.7,,,,
180.4,,,,
173.1,,,,
174.9,,,,
157,,,,
148.5,,,,
182.4,,,,
173,,,,
151,,,,
183.9,,,,
174.4,,,,
190.3,,,,
194.6,,,,
211.8,,,,
222,,,,
218.9,,,,
181.9,,,,
212,,,,
200.2,,,,
158.2,,,,
186.1,,,,
185.3,,,,
157,,,,
159.1,,,,
160.9,,,,
124.1,,,,